ds,Product,State,actual_count,topic,topic_count,topic_keywords,topic_interpretation,year,month_num,forecast_count,model
2022-03-01,CHECKING OR SAVINGS ACCOUNT,DC,1.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2022,3,,
2022-04-01,CHECKING OR SAVINGS ACCOUNT,DC,4.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2022,4,,
2022-05-01,CHECKING OR SAVINGS ACCOUNT,DC,1.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2022,5,,
2022-06-01,CHECKING OR SAVINGS ACCOUNT,DC,1.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2022,6,,
2022-07-01,CHECKING OR SAVINGS ACCOUNT,DC,2.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2022,7,,
2022-08-01,CHECKING OR SAVINGS ACCOUNT,DC,1.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2022,8,,
2022-09-01,CHECKING OR SAVINGS ACCOUNT,DC,1.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2022,9,,
2022-10-01,CHECKING OR SAVINGS ACCOUNT,DC,2.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2022,10,,
2022-11-01,CHECKING OR SAVINGS ACCOUNT,DC,1.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2022,11,,
2023-01-01,CHECKING OR SAVINGS ACCOUNT,DC,3.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2023,1,,
2023-02-01,CHECKING OR SAVINGS ACCOUNT,DC,2.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2023,2,,
2023-03-01,CHECKING OR SAVINGS ACCOUNT,DC,3.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2023,3,,
2023-05-01,CHECKING OR SAVINGS ACCOUNT,DC,4.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2023,5,,
2023-06-01,CHECKING OR SAVINGS ACCOUNT,DC,1.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2023,6,,
2023-07-01,CHECKING OR SAVINGS ACCOUNT,DC,1.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2023,7,,
2023-08-01,CHECKING OR SAVINGS ACCOUNT,DC,3.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2023,8,,
2023-09-01,CHECKING OR SAVINGS ACCOUNT,DC,2.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2023,9,,
2023-11-01,CHECKING OR SAVINGS ACCOUNT,DC,2.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2023,11,,
2024-01-01,CHECKING OR SAVINGS ACCOUNT,DC,1.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2024,1,,
2024-02-01,CHECKING OR SAVINGS ACCOUNT,DC,4.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2024,2,,
2024-04-01,CHECKING OR SAVINGS ACCOUNT,DC,3.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2024,4,,
2024-05-01,CHECKING OR SAVINGS ACCOUNT,DC,2.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2024,5,,
2024-06-01,CHECKING OR SAVINGS ACCOUNT,DC,1.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2024,6,,
2024-07-01,CHECKING OR SAVINGS ACCOUNT,DC,1.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2024,7,,
2024-08-01,CHECKING OR SAVINGS ACCOUNT,DC,3.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2024,8,,
2024-11-01,CHECKING OR SAVINGS ACCOUNT,DC,5.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2024,11,,
2024-12-01,CHECKING OR SAVINGS ACCOUNT,DC,4.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2024,12,,
2025-01-01,CHECKING OR SAVINGS ACCOUNT,DC,26.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2025,1,,
2025-02-01,CHECKING OR SAVINGS ACCOUNT,DC,2.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2025,2,,
2025-03-01,CHECKING OR SAVINGS ACCOUNT,DC,2.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2025,3,,
2025-04-01,CHECKING OR SAVINGS ACCOUNT,DC,2.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2025,4,,
2025-05-01,CHECKING OR SAVINGS ACCOUNT,DC,2.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2025,5,,
2025-06-01,CHECKING OR SAVINGS ACCOUNT,DC,2.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2025,6,,
2025-07-01,CHECKING OR SAVINGS ACCOUNT,DC,4.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2025,7,,
2025-08-01,CHECKING OR SAVINGS ACCOUNT,DC,4.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2025,8,,
2025-09-01,CHECKING OR SAVINGS ACCOUNT,DC,1.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2025,9,,
2025-10-01,CHECKING OR SAVINGS ACCOUNT,DC,,,,,,2025,10,1.4234666113989891,SARIMA
2025-11-01,CHECKING OR SAVINGS ACCOUNT,DC,,,,,,2025,11,2.0721935990545792,SARIMA
2025-12-01,CHECKING OR SAVINGS ACCOUNT,DC,,,,,,2025,12,2.0721935990545792,SARIMA
2026-01-01,CHECKING OR SAVINGS ACCOUNT,DC,,,,,,2026,1,2.0721935990545792,SARIMA
2026-02-01,CHECKING OR SAVINGS ACCOUNT,DC,,,,,,2026,2,2.0721935990545792,SARIMA
2026-03-01,CHECKING OR SAVINGS ACCOUNT,DC,,,,,,2026,3,2.0721935990545792,SARIMA
2026-04-01,CHECKING OR SAVINGS ACCOUNT,DC,,,,,,2026,4,2.0721935990545792,SARIMA
2026-05-01,CHECKING OR SAVINGS ACCOUNT,DC,,,,,,2026,5,2.0721935990545792,SARIMA
2026-06-01,CHECKING OR SAVINGS ACCOUNT,DC,,,,,,2026,6,2.0721935990545792,SARIMA
2026-07-01,CHECKING OR SAVINGS ACCOUNT,DC,,,,,,2026,7,2.0721935990545792,SARIMA
2026-08-01,CHECKING OR SAVINGS ACCOUNT,DC,,,,,,2026,8,2.0721935990545792,SARIMA
2026-09-01,CHECKING OR SAVINGS ACCOUNT,DC,,,,,,2026,9,2.0721935990545792,SARIMA
2020-11-01,CHECKING OR SAVINGS ACCOUNT,DE,2.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2020,11,,
2020-12-01,CHECKING OR SAVINGS ACCOUNT,DE,1.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2020,12,,
2021-01-01,CHECKING OR SAVINGS ACCOUNT,DE,2.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2021,1,,
2021-03-01,CHECKING OR SAVINGS ACCOUNT,DE,2.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2021,3,,
2021-04-01,CHECKING OR SAVINGS ACCOUNT,DE,1.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2021,4,,
2021-07-01,CHECKING OR SAVINGS ACCOUNT,DE,2.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2021,7,,
2021-09-01,CHECKING OR SAVINGS ACCOUNT,DE,2.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2021,9,,
2021-10-01,CHECKING OR SAVINGS ACCOUNT,DE,1.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2021,10,,
2022-02-01,CHECKING OR SAVINGS ACCOUNT,DE,1.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2022,2,,
2022-03-01,CHECKING OR SAVINGS ACCOUNT,DE,2.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2022,3,,
2022-04-01,CHECKING OR SAVINGS ACCOUNT,DE,1.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2022,4,,
2022-05-01,CHECKING OR SAVINGS ACCOUNT,DE,2.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2022,5,,
2022-06-01,CHECKING OR SAVINGS ACCOUNT,DE,1.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2022,6,,
2022-07-01,CHECKING OR SAVINGS ACCOUNT,DE,1.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2022,7,,
2022-10-01,CHECKING OR SAVINGS ACCOUNT,DE,1.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2022,10,,
2022-12-01,CHECKING OR SAVINGS ACCOUNT,DE,1.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2022,12,,
2023-01-01,CHECKING OR SAVINGS ACCOUNT,DE,2.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2023,1,,
2023-02-01,CHECKING OR SAVINGS ACCOUNT,DE,4.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2023,2,,
2023-03-01,CHECKING OR SAVINGS ACCOUNT,DE,2.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2023,3,,
2023-04-01,CHECKING OR SAVINGS ACCOUNT,DE,1.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2023,4,,
2023-05-01,CHECKING OR SAVINGS ACCOUNT,DE,2.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2023,5,,
2023-06-01,CHECKING OR SAVINGS ACCOUNT,DE,2.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2023,6,,
2023-07-01,CHECKING OR SAVINGS ACCOUNT,DE,1.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2023,7,,
2023-08-01,CHECKING OR SAVINGS ACCOUNT,DE,2.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2023,8,,
2023-09-01,CHECKING OR SAVINGS ACCOUNT,DE,1.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2023,9,,
2023-12-01,CHECKING OR SAVINGS ACCOUNT,DE,2.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2023,12,,
2024-01-01,CHECKING OR SAVINGS ACCOUNT,DE,3.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2024,1,,
2024-02-01,CHECKING OR SAVINGS ACCOUNT,DE,4.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2024,2,,
2024-03-01,CHECKING OR SAVINGS ACCOUNT,DE,2.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2024,3,,
2024-04-01,CHECKING OR SAVINGS ACCOUNT,DE,5.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2024,4,,
2024-05-01,CHECKING OR SAVINGS ACCOUNT,DE,2.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2024,5,,
2024-06-01,CHECKING OR SAVINGS ACCOUNT,DE,3.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2024,6,,
2024-07-01,CHECKING OR SAVINGS ACCOUNT,DE,2.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2024,7,,
2024-08-01,CHECKING OR SAVINGS ACCOUNT,DE,1.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2024,8,,
2024-09-01,CHECKING OR SAVINGS ACCOUNT,DE,2.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2024,9,,
2024-10-01,CHECKING OR SAVINGS ACCOUNT,DE,4.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2024,10,,
2024-11-01,CHECKING OR SAVINGS ACCOUNT,DE,3.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2024,11,,
2024-12-01,CHECKING OR SAVINGS ACCOUNT,DE,2.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2024,12,,
2025-01-01,CHECKING OR SAVINGS ACCOUNT,DE,21.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2025,1,,
2025-02-01,CHECKING OR SAVINGS ACCOUNT,DE,5.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2025,2,,
2025-03-01,CHECKING OR SAVINGS ACCOUNT,DE,2.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2025,3,,
2025-04-01,CHECKING OR SAVINGS ACCOUNT,DE,4.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2025,4,,
2025-05-01,CHECKING OR SAVINGS ACCOUNT,DE,1.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2025,5,,
2025-06-01,CHECKING OR SAVINGS ACCOUNT,DE,2.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2025,6,,
2025-07-01,CHECKING OR SAVINGS ACCOUNT,DE,3.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2025,7,,
2025-09-01,CHECKING OR SAVINGS ACCOUNT,DE,1.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2025,9,,
2025-10-01,CHECKING OR SAVINGS ACCOUNT,DE,2.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2025,10,,
2025-11-01,CHECKING OR SAVINGS ACCOUNT,DE,,,,,,2025,11,3.810468593837438,SARIMA
2025-12-01,CHECKING OR SAVINGS ACCOUNT,DE,,,,,,2025,12,2.8104685938344964,SARIMA
2026-01-01,CHECKING OR SAVINGS ACCOUNT,DE,,,,,,2026,1,2.079219364210522,SARIMA
2026-02-01,CHECKING OR SAVINGS ACCOUNT,DE,,,,,,2026,2,2.2488489321079395,SARIMA
2026-03-01,CHECKING OR SAVINGS ACCOUNT,DE,,,,,,2026,3,3.61965023003388,SARIMA
2026-04-01,CHECKING OR SAVINGS ACCOUNT,DE,,,,,,2026,4,2.609296863805974,SARIMA
2026-05-01,CHECKING OR SAVINGS ACCOUNT,DE,,,,,,2026,5,4.478633499196261,SARIMA
2026-06-01,CHECKING OR SAVINGS ACCOUNT,DE,,,,,,2026,6,2.008710998791712,SARIMA
2026-07-01,CHECKING OR SAVINGS ACCOUNT,DE,,,,,,2026,7,1.9485559996008088,SARIMA
2026-08-01,CHECKING OR SAVINGS ACCOUNT,DE,,,,,,2026,8,3.209882728820235,SARIMA
2026-09-01,CHECKING OR SAVINGS ACCOUNT,DE,,,,,,2026,9,2.139374363401425,SARIMA
2026-10-01,CHECKING OR SAVINGS ACCOUNT,DE,,,,,,2026,10,2.079219364210522,SARIMA
2020-11-01,CHECKING OR SAVINGS ACCOUNT,GA,10.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2020,11,,
2020-12-01,CHECKING OR SAVINGS ACCOUNT,GA,6.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2020,12,,
2021-01-01,CHECKING OR SAVINGS ACCOUNT,GA,10.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2021,1,,
2021-02-01,CHECKING OR SAVINGS ACCOUNT,GA,10.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2021,2,,
2021-03-01,CHECKING OR SAVINGS ACCOUNT,GA,5.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2021,3,,
2021-04-01,CHECKING OR SAVINGS ACCOUNT,GA,10.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2021,4,,
2021-05-01,CHECKING OR SAVINGS ACCOUNT,GA,13.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2021,5,,
2021-06-01,CHECKING OR SAVINGS ACCOUNT,GA,12.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2021,6,,
2021-07-01,CHECKING OR SAVINGS ACCOUNT,GA,12.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2021,7,,
2021-08-01,CHECKING OR SAVINGS ACCOUNT,GA,6.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2021,8,,
2021-09-01,CHECKING OR SAVINGS ACCOUNT,GA,12.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2021,9,,
2021-10-01,CHECKING OR SAVINGS ACCOUNT,GA,15.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2021,10,,
2021-11-01,CHECKING OR SAVINGS ACCOUNT,GA,10.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2021,11,,
2021-12-01,CHECKING OR SAVINGS ACCOUNT,GA,11.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2021,12,,
2022-01-01,CHECKING OR SAVINGS ACCOUNT,GA,13.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2022,1,,
2022-02-01,CHECKING OR SAVINGS ACCOUNT,GA,8.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2022,2,,
2022-03-01,CHECKING OR SAVINGS ACCOUNT,GA,15.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2022,3,,
2022-04-01,CHECKING OR SAVINGS ACCOUNT,GA,12.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2022,4,,
2022-05-01,CHECKING OR SAVINGS ACCOUNT,GA,10.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2022,5,,
2022-06-01,CHECKING OR SAVINGS ACCOUNT,GA,16.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2022,6,,
2022-07-01,CHECKING OR SAVINGS ACCOUNT,GA,11.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2022,7,,
2022-08-01,CHECKING OR SAVINGS ACCOUNT,GA,22.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2022,8,,
2022-09-01,CHECKING OR SAVINGS ACCOUNT,GA,19.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2022,9,,
2022-10-01,CHECKING OR SAVINGS ACCOUNT,GA,24.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2022,10,,
2022-11-01,CHECKING OR SAVINGS ACCOUNT,GA,23.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2022,11,,
2022-12-01,CHECKING OR SAVINGS ACCOUNT,GA,16.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2022,12,,
2023-01-01,CHECKING OR SAVINGS ACCOUNT,GA,60.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2023,1,,
2023-02-01,CHECKING OR SAVINGS ACCOUNT,GA,27.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2023,2,,
2023-03-01,CHECKING OR SAVINGS ACCOUNT,GA,24.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2023,3,,
2023-04-01,CHECKING OR SAVINGS ACCOUNT,GA,32.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2023,4,,
2023-05-01,CHECKING OR SAVINGS ACCOUNT,GA,22.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2023,5,,
2023-06-01,CHECKING OR SAVINGS ACCOUNT,GA,25.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2023,6,,
2023-07-01,CHECKING OR SAVINGS ACCOUNT,GA,38.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2023,7,,
2023-08-01,CHECKING OR SAVINGS ACCOUNT,GA,21.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2023,8,,
2023-09-01,CHECKING OR SAVINGS ACCOUNT,GA,23.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2023,9,,
2023-10-01,CHECKING OR SAVINGS ACCOUNT,GA,22.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2023,10,,
2023-11-01,CHECKING OR SAVINGS ACCOUNT,GA,31.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2023,11,,
2023-12-01,CHECKING OR SAVINGS ACCOUNT,GA,27.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2023,12,,
2024-01-01,CHECKING OR SAVINGS ACCOUNT,GA,20.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2024,1,,
2024-02-01,CHECKING OR SAVINGS ACCOUNT,GA,29.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2024,2,,
2024-03-01,CHECKING OR SAVINGS ACCOUNT,GA,19.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2024,3,,
2024-04-01,CHECKING OR SAVINGS ACCOUNT,GA,23.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2024,4,,
2024-05-01,CHECKING OR SAVINGS ACCOUNT,GA,35.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2024,5,,
2024-06-01,CHECKING OR SAVINGS ACCOUNT,GA,20.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2024,6,,
2024-07-01,CHECKING OR SAVINGS ACCOUNT,GA,28.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2024,7,,
2024-08-01,CHECKING OR SAVINGS ACCOUNT,GA,25.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2024,8,,
2024-09-01,CHECKING OR SAVINGS ACCOUNT,GA,29.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2024,9,,
2024-10-01,CHECKING OR SAVINGS ACCOUNT,GA,28.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2024,10,,
2024-11-01,CHECKING OR SAVINGS ACCOUNT,GA,60.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2024,11,,
2024-12-01,CHECKING OR SAVINGS ACCOUNT,GA,34.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2024,12,,
2025-01-01,CHECKING OR SAVINGS ACCOUNT,GA,378.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2025,1,,
2025-02-01,CHECKING OR SAVINGS ACCOUNT,GA,38.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2025,2,,
2025-03-01,CHECKING OR SAVINGS ACCOUNT,GA,43.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2025,3,,
2025-04-01,CHECKING OR SAVINGS ACCOUNT,GA,27.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2025,4,,
2025-05-01,CHECKING OR SAVINGS ACCOUNT,GA,38.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2025,5,,
2025-06-01,CHECKING OR SAVINGS ACCOUNT,GA,26.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2025,6,,
2025-07-01,CHECKING OR SAVINGS ACCOUNT,GA,42.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2025,7,,
2025-08-01,CHECKING OR SAVINGS ACCOUNT,GA,39.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2025,8,,
2025-09-01,CHECKING OR SAVINGS ACCOUNT,GA,23.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2025,9,,
2025-10-01,CHECKING OR SAVINGS ACCOUNT,GA,13.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2025,10,,
2025-11-01,CHECKING OR SAVINGS ACCOUNT,GA,,,,,,2025,11,33.47960087839368,SARIMA
2025-12-01,CHECKING OR SAVINGS ACCOUNT,GA,,,,,,2025,12,29.90404689119805,SARIMA
2026-01-01,CHECKING OR SAVINGS ACCOUNT,GA,,,,,,2026,1,26.146556228203675,SARIMA
2026-02-01,CHECKING OR SAVINGS ACCOUNT,GA,,,,,,2026,2,28.85641786901797,SARIMA
2026-03-01,CHECKING OR SAVINGS ACCOUNT,GA,,,,,,2026,3,29.480943647608225,SARIMA
2026-04-01,CHECKING OR SAVINGS ACCOUNT,GA,,,,,,2026,4,29.07084926808607,SARIMA
2026-05-01,CHECKING OR SAVINGS ACCOUNT,GA,,,,,,2026,5,29.55756034599456,SARIMA
2026-06-01,CHECKING OR SAVINGS ACCOUNT,GA,,,,,,2026,6,30.02396639789429,SARIMA
2026-07-01,CHECKING OR SAVINGS ACCOUNT,GA,,,,,,2026,7,30.258198872049835,SARIMA
2026-08-01,CHECKING OR SAVINGS ACCOUNT,GA,,,,,,2026,8,30.574441639606725,SARIMA
2026-09-01,CHECKING OR SAVINGS ACCOUNT,GA,,,,,,2026,9,30.925468158932137,SARIMA
